X,Y,LAYER
38.9,38.9,1
53.5,38.9,1
68,38.9,1
64.1,24.4,1
53.5,13.8,1
38.9,9.9,1
24.4,13.8,1
13.8,24.4,1
9.9,38.9,1
13.8,53.5,1
24.4,64.1,1
38.9,68,1
53.5,64.1,1
64.1,53.5,1
46.2,26.4,1
31.7,26.4,1
24.4,38.9,1
31.7,51.5,1
46.2,51.5,1
38.9,38.9,2
53,35.2,2
67,31.4,2
59.5,18.4,2
46.5,10.9,2
31.4,10.9,2
18.4,18.4,2
10.9,31.4,2
10.9,46.5,2
18.4,59.5,2
31.4,67,2
46.5,67,2
59.5,59.5,2
67,46.5,2
42.7,24.9,2
28.7,28.7,2
24.9,42.7,2
35.2,53,2
49.2,49.2,2
68,38.9,3
64.1,24.4,3
53.5,13.8,3
38.9,9.9,3
24.4,13.8,3
13.8,24.4,3
9.9,38.9,3
13.8,53.5,3
24.4,64.1,3
38.9,68,3
53.5,64.1,3
64.1,53.5,3
67,31.4,4
59.5,18.4,4
46.5,10.9,4
31.4,10.9,4
18.4,18.4,4
10.9,31.4,4
10.9,46.5,4
18.4,59.5,4
31.4,67,4
46.5,67,4
59.5,59.5,4
67,46.5,4
68,38.9,5
64.1,24.4,5
53.5,13.8,5
38.9,9.9,5
24.4,13.8,5
13.8,24.4,5
9.9,38.9,5
13.8,53.5,5
24.4,64.1,5
38.9,68,5
53.5,64.1,5
64.1,53.5,5
67,31.4,6
59.5,18.4,6
46.5,10.9,6
31.4,10.9,6
18.4,18.4,6
10.9,31.4,6
10.9,46.5,6
18.4,59.5,6
31.4,67,6
46.5,67,6
59.5,59.5,6
67,46.5,6
68,38.9,7
64.1,24.4,7
53.5,13.8,7
38.9,9.9,7
24.4,13.8,7
13.8,24.4,7
9.9,38.9,7
13.8,53.5,7
24.4,64.1,7
38.9,68,7
53.5,64.1,7
64.1,53.5,7
67,31.4,8
59.5,18.4,8
46.5,10.9,8
31.4,10.9,8
18.4,18.4,8
10.9,31.4,8
10.9,46.5,8
18.4,59.5,8
31.4,67,8
46.5,67,8
59.5,59.5,8
67,46.5,8
68,38.9,9
64.1,24.4,9
53.5,13.8,9
38.9,9.9,9
24.4,13.8,9
13.8,24.4,9
9.9,38.9,9
13.8,53.5,9
24.4,64.1,9
38.9,68,9
53.5,64.1,9
64.1,53.5,9
67,31.4,10
59.5,18.4,10
46.5,10.9,10
31.4,10.9,10
18.4,18.4,10
10.9,31.4,10
10.9,46.5,10
18.4,59.5,10
31.4,67,10
46.5,67,10
59.5,59.5,10
67,46.5,10
68,38.9,11
64.1,24.4,11
53.5,13.8,11
38.9,9.9,11
24.4,13.8,11
13.8,24.4,11
9.9,38.9,11
13.8,53.5,11
24.4,64.1,11
38.9,68,11
53.5,64.1,11
64.1,53.5,11
67,31.4,12
59.5,18.4,12
46.5,10.9,12
31.4,10.9,12
18.4,18.4,12
10.9,31.4,12
10.9,46.5,12
18.4,59.5,12
31.4,67,12
46.5,67,12
59.5,59.5,12
67,46.5,12
68,38.9,13
64.1,24.4,13
53.5,13.8,13
38.9,9.9,13
24.4,13.8,13
13.8,24.4,13
9.9,38.9,13
13.8,53.5,13
24.4,64.1,13
38.9,68,13
53.5,64.1,13
64.1,53.5,13
